Feature1,Feature2,Cluster,Sub-Category
0.20036742309047315,0.11672904330213361,1,Accessories
-0.2642475097293272,0.7076604306103923,1,Appliances
-1.6767842114182323,0.5358197477560064,1,Art
0.48416057198470325,-0.8055965332142949,2,Binders
-0.1765890903200129,0.00316624073415204,1,Bookcases
1.4795542150268048,-1.7113928313099775,2,Chairs
4.046025937369266,2.9799412472267304,0,Copiers
-1.9207105582757134,0.23484418037219632,1,Envelopes
-1.9609733836180425,0.5831548886387053,1,Fasteners
-0.7989844931818849,0.42170630811501786,1,Furnishings
-1.8208251199739813,0.5503398708343453,1,Labels
2.179581792206751,-0.8211888318124061,2,Machines
-1.0542234051641208,0.4248764843825401,1,Paper
1.274893479926904,-1.6821739777211921,2,Phones
0.254383984661669,-0.905577275006518,2,Storage
-0.9087904917747713,0.06774388782129681,1,Supplies
0.6631608591895142,-0.7000528807291289,2,Tables
